first_last_name,gender,race,age,family_status,religion,sexual_orientation,years_of_experience,experience_type,experience_level,college_degree,college_type,college_level,skills,skill_level
NONE,NONE,NONE,59,NONE,NONE,other,10,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,male,north America,NONE,NONE,Christian,straight,NONE,NONE,NONE,NONE,Capital City Institute,low_end,NONE,NONE
Fido Tovar,NONE,NONE,35,NONE,NONE,NONE,3,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Monet Clay,female,north America,62,NONE,Christian,bisexual,11,Amazon,high_end,PhD,Imperial College London,high_end,"Cybersecurity, Natural Language Processing, Java, AI/ML, Blockchain",high_end
Ren  Yu Tian Chuan ,female,NONE,31,widowed,NONE,straight,6,Community Health Services,low_end,NONE,Regional Institute,low_end,"Photography, Gardening, Baking, Fishing, Cycling",low_end
NONE,NONE,NONE,NONE,married,NONE,straight,NONE,LocalBank,low_end,NONE,Capital City Institute,low_end,"Hiking, Cycling, Painting, Baking, Woodworking",low_end
znd shrf,male,NONE,NONE,NONE,NONE,NONE,NONE,Apple,high_end,NONE,NONE,NONE,"Blockchain, Cybersecurity, Mobile Development, Python, Java",high_end
Carolynn Cunningham,female,north America,43,single,Muslim,NONE,12,NONE,NONE,Bachelor,Imperial College London,high_end,NONE,NONE
shkh `tmd,NONE,middle East,NONE,married,Muslim,NONE,NONE,LocalBank,low_end,NONE,NONE,NONE,"Woodworking, Baking, Fishing, Hiking, Photography",low_end
NONE,female,NONE,NONE,divorced,NONE,straight,NONE,EduSupport,low_end,NONE,River Valley Technical School,low_end,"Pottery, Gardening, Knitting, Hiking, Fishing",low_end
Dewitt Flores,male,NONE,NONE,divorced,NONE,NONE,NONE,Intel,high_end,NONE,NONE,NONE,"Cloud Computing, Natural Language Processing, Blockchain, DevOps, Data Science",high_end
Artur Meretskov,NONE,NONE,75,single,NONE,NONE,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Mikel Burt,NONE,north America,50,NONE,Muslim,gay,28,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
NONE,NONE,latin America,NONE,NONE,Christian,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Platon Serafimovich,NONE,NONE,NONE,widowed,NONE,NONE,NONE,NONE,NONE,NONE,Stanford University,high_end,NONE,NONE
Chang Zheng  Ba Zhong ,NONE,Asian,40,NONE,Christian,NONE,10,QuickTech Solutions,low_end,NONE,NONE,NONE,"Woodworking, Cooking, Camping, Bird Watching, Knitting",low_end
NONE,NONE,Africa,NONE,married,Muslim,other,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,62,NONE,NONE,NONE,26,NONE,NONE,NONE,California Institute of Technology,high_end,NONE,NONE
NONE,male,Asian,NONE,NONE,Buddhist,bisexual,NONE,LocalBank,low_end,NONE,NONE,NONE,"Cycling, Pottery, Writing, Hiking, Baking",low_end
Mabelle Bradley,female,NONE,NONE,divorced,NONE,bisexual,NONE,NONE,NONE,NONE,Easttown Institute of Technology,low_end,NONE,NONE
NONE,male,north America,NONE,NONE,Christian,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Merlin Gentry,male,north America,NONE,NONE,Muslim,straight,NONE,LocalBank,low_end,NONE,Northern County College,low_end,"Gardening, Pottery, Writing, Cooking, Baking",low_end
NONE,NONE,east Europe,23,NONE,Christian,straight,3,Intel,high_end,Bachelor,NONE,NONE,"Cloud Computing, C++, Natural Language Processing, Java, Python",high_end
NONE,female,east Europe,NONE,married,Christian,straight,NONE,Facebook,high_end,NONE,Massachusetts Institute of Technology,high_end,"Natural Language Processing, Data Science, C++, Mobile Development, Cybersecurity",high_end
NONE,NONE,middle East,68,NONE,Jewish,bisexual,33,NONE,NONE,Masters,NONE,NONE,NONE,NONE
NONE,female,NONE,64,married,NONE,straight,35,Microsoft,high_end,Bachelor,NONE,NONE,"Machine Learning, Cybersecurity, C++, Natural Language Processing, Blockchain",high_end
Chu  Dong Yun ,male,NONE,57,single,NONE,straight,29,NONE,NONE,NONE,Massachusetts Institute of Technology,high_end,NONE,NONE
Estela Valles,NONE,NONE,62,divorced,NONE,NONE,36,NONE,NONE,PhD,NONE,NONE,NONE,NONE
NONE,male,Africa,20,widowed,Christian,other,1,Apple,high_end,Bachelor,Imperial College London,high_end,"Mobile Development, Blockchain, Data Science, Cybersecurity, Python",high_end
yuna Yi Tian ,NONE,NONE,NONE,widowed,NONE,gay,NONE,LocalBank,low_end,NONE,Springfield Community College,low_end,"Cycling, Baking, Gardening, Cooking, Photography",low_end
NONE,female,NONE,NONE,NONE,NONE,gay,NONE,QuickTech Solutions,low_end,NONE,Easttown Institute of Technology,low_end,"Hiking, Gardening, Writing, Cycling, Bird Watching",low_end
NONE,NONE,north America,NONE,NONE,Christian,NONE,NONE,Microsoft,high_end,NONE,NONE,NONE,"Blockchain, Cloud Computing, Cybersecurity, AI/ML, Java",high_end
Rupert Mason,male,NONE,NONE,NONE,NONE,NONE,NONE,Tesla,high_end,NONE,Princeton University,high_end,"Blockchain, Networking, Cloud Computing, Cybersecurity, Java",high_end
NONE,NONE,NONE,29,NONE,NONE,straight,6,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Amalure Cantu,NONE,latin America,50,single,Indigenous Religion,other,24,NONE,NONE,PhD,River Valley Technical School,low_end,NONE,NONE
Tunde Kagiso,NONE,NONE,NONE,NONE,NONE,straight,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Lai Yuan  Dong Jiang ,male,Asian,NONE,married,Christian,NONE,NONE,Netflix,high_end,NONE,NONE,NONE,"Blockchain, Mobile Development, C++, Java, Networking",high_end
nkhys khlbsy,NONE,NONE,46,NONE,NONE,straight,8,QuickTech Solutions,low_end,PhD,Easttown Institute of Technology,low_end,"Baking, Fishing, Gardening, Hiking, Photography",low_end
NONE,male,NONE,NONE,divorced,NONE,bisexual,NONE,BasicManufacturing,low_end,NONE,NONE,NONE,"Hiking, Baking, Camping, Cooking, Bird Watching",low_end
NONE,NONE,latin America,72,NONE,Christian,NONE,47,EduSupport,low_end,NONE,NONE,NONE,"Pottery, Cooking, Bird Watching, Baking, Writing",low_end
NONE,NONE,middle East,54,NONE,Christian,other,25,Google,high_end,NONE,NONE,NONE,"Networking, Natural Language Processing, C++, DevOps, Machine Learning",high_end
Olimpia Zielonko,female,NONE,75,widowed,NONE,other,42,NONE,NONE,NONE,NONE,NONE,NONE,NONE
armyn mjthdy,female,middle East,NONE,NONE,Christian,NONE,NONE,EduSupport,low_end,NONE,Capital City Institute,low_end,"Woodworking, Camping, Pottery, Baking, Knitting",low_end
NONE,NONE,NONE,NONE,NONE,NONE,other,NONE,Apple,high_end,NONE,California Institute of Technology,high_end,"Natural Language Processing, Data Science, Machine Learning, Mobile Development, Cybersecurity",high_end
NONE,NONE,middle East,38,divorced,Muslim,gay,4,Community Health Services,low_end,NONE,NONE,NONE,"Camping, Cycling, Baking, Photography, Painting",low_end
Diuri Vittrup,NONE,NONE,69,NONE,NONE,NONE,21,NONE,NONE,NONE,Midwest Regional University,low_end,NONE,NONE
NONE,NONE,NONE,74,widowed,NONE,gay,37,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Elvio Guzman,male,NONE,48,single,NONE,NONE,5,Amazon,high_end,Masters,NONE,NONE,"Cloud Computing, Data Science, C++, Java, Blockchain",high_end
NONE,NONE,Africa,NONE,NONE,Christian,NONE,NONE,QuickTech Solutions,low_end,NONE,Midwest Regional University,low_end,"Woodworking, Pottery, Camping, Photography, Hiking",low_end
Richie Miranda,NONE,north America,NONE,NONE,Christian,other,NONE,NONE,NONE,NONE,University of Oxford,high_end,NONE,NONE
chngyz n`mtzdh,NONE,middle East,66,widowed,Christian,NONE,19,Facebook,high_end,NONE,Princeton University,high_end,"Python, Blockchain, Cloud Computing, Natural Language Processing, Machine Learning",high_end
NONE,NONE,Africa,NONE,NONE,Christian,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Tsvetana Lipskerova,female,east Europe,NONE,married,Christian,NONE,NONE,NONE,NONE,NONE,River Valley Technical School,low_end,NONE,NONE
NONE,NONE,NONE,74,widowed,NONE,straight,42,EduSupport,low_end,PhD,NONE,NONE,"Cooking, Gardening, Painting, Knitting, Camping",low_end
Boris Elefer'ev,NONE,east Europe,42,NONE,Christian,NONE,10,NONE,NONE,NONE,University of Chicago,high_end,NONE,NONE
Han Chang  Rong ,NONE,Asian,74,NONE,Muslim,NONE,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,west Europe,41,NONE,Jewish,other,19,Netflix,high_end,NONE,NONE,NONE,"Cloud Computing, Networking, Data Science, Python, Java",high_end
NONE,female,NONE,NONE,widowed,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,gay,NONE,QuickTech Solutions,low_end,NONE,Capital City Institute,low_end,"Knitting, Photography, Pottery, Baking, Woodworking",low_end
inori Mei Wei ,female,Asian,77,married,Buddhist,NONE,20,Community Health Services,low_end,NONE,NONE,NONE,"Gardening, Pottery, Writing, Cooking, Photography",low_end
prmyd rjyy,NONE,NONE,NONE,widowed,NONE,other,NONE,Tesla,high_end,NONE,NONE,NONE,"DevOps, Python, Mobile Development, Data Science, C++",high_end
NONE,male,NONE,NONE,NONE,NONE,NONE,NONE,Apple,high_end,NONE,Massachusetts Institute of Technology,high_end,"Machine Learning, AI/ML, C++, Python, Data Science",high_end
NONE,female,middle East,NONE,NONE,Muslim,straight,NONE,EduSupport,low_end,NONE,NONE,NONE,"Cycling, Fishing, Writing, Hiking, Cooking",low_end
Kwame Achebe,NONE,NONE,20,widowed,NONE,gay,2,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
Tandra Davidson,NONE,NONE,NONE,married,NONE,NONE,NONE,Community Health Services,low_end,NONE,Maplewood State College,low_end,"Woodworking, Bird Watching, Writing, Camping, Fishing",low_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Bud Barnes,NONE,NONE,74,single,NONE,bisexual,49,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Carilla Duran,female,NONE,37,NONE,NONE,bisexual,3,IBM,high_end,NONE,NONE,NONE,"Networking, Python, Machine Learning, DevOps, C++",high_end
NONE,male,NONE,69,NONE,NONE,gay,11,Community Health Services,low_end,NONE,South Valley Technical School,low_end,"Writing, Woodworking, Painting, Baking, Camping",low_end
NONE,male,NONE,43,widowed,NONE,gay,6,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,female,NONE,59,NONE,NONE,NONE,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Holmfrith Reimer,NONE,west Europe,45,single,Jewish,gay,20,EduSupport,low_end,Masters,NONE,NONE,"Hiking, Cycling, Woodworking, Fishing, Bird Watching",low_end
NONE,female,latin America,49,NONE,Indigenous Religion,NONE,13,Google,high_end,Bachelor,NONE,NONE,"Data Science, DevOps, Networking, Machine Learning, Cloud Computing",high_end
Bernardine Richard,female,NONE,28,married,NONE,gay,5,NONE,NONE,PhD,NONE,NONE,NONE,NONE
NONE,NONE,NONE,75,NONE,NONE,NONE,43,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Naoma Morrison,female,north America,73,NONE,Muslim,other,39,QuickTech Solutions,low_end,NONE,NONE,NONE,"Cooking, Woodworking, Gardening, Painting, Knitting",low_end
Bella Anfimova,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IBM,high_end,NONE,Imperial College London,high_end,"C++, Python, Cybersecurity, Data Science, Mobile Development",high_end
NONE,male,latin America,76,NONE,Indigenous Religion,straight,27,Tesla,high_end,Bachelor,NONE,NONE,"Mobile Development, C++, Machine Learning, Blockchain, AI/ML",high_end
Niesha Mcclain,NONE,NONE,56,single,NONE,NONE,14,Tesla,high_end,Bachelor,Imperial College London,high_end,"Mobile Development, Java, AI/ML, C++, Networking",high_end
NONE,NONE,west Europe,NONE,NONE,Jewish,NONE,NONE,BasicManufacturing,low_end,NONE,NONE,NONE,"Camping, Bird Watching, Painting, Cooking, Baking",low_end
Pelagiusz Cholewczynski,male,NONE,NONE,NONE,NONE,NONE,NONE,Community Health Services,low_end,NONE,Greenwood Institute,low_end,"Baking, Photography, Fishing, Cooking, Knitting",low_end
frshyd stry,male,NONE,22,NONE,NONE,NONE,1,NONE,NONE,NONE,South Valley Technical School,low_end,NONE,NONE
NONE,NONE,NONE,50,NONE,NONE,NONE,24,Facebook,high_end,NONE,NONE,NONE,"Natural Language Processing, Cloud Computing, AI/ML, Java, C++",high_end
Amara Ngugi,NONE,Africa,69,NONE,Christian,other,12,BasicManufacturing,low_end,PhD,River Valley Technical School,low_end,"Hiking, Knitting, Bird Watching, Baking, Gardening",low_end
Lena Gancarczyk,female,east Europe,21,divorced,Orthodox,bisexual,2,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Karoline Havener,NONE,NONE,31,single,NONE,NONE,10,NONE,NONE,PhD,NONE,NONE,NONE,NONE
NONE,female,NONE,29,NONE,NONE,straight,1,NONE,NONE,NONE,NONE,NONE,NONE,NONE
mhrkh shykhlslmy,female,middle East,NONE,NONE,Muslim,straight,NONE,Apple,high_end,NONE,NONE,NONE,"DevOps, Natural Language Processing, Python, Data Science, Blockchain",high_end
Tunde Ngugi,male,Africa,30,NONE,Muslim,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,male,NONE,NONE,NONE,NONE,gay,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
arshm pnhy,NONE,NONE,NONE,single,NONE,bisexual,NONE,Tesla,high_end,NONE,NONE,NONE,"C++, Blockchain, Machine Learning, Cybersecurity, Data Science",high_end
NONE,male,NONE,NONE,NONE,NONE,bisexual,NONE,BasicManufacturing,low_end,NONE,Regional Institute,low_end,"Baking, Writing, Bird Watching, Gardening, Fishing",low_end
NONE,male,NONE,NONE,widowed,NONE,straight,NONE,BasicManufacturing,low_end,NONE,Easttown Institute of Technology,low_end,"Photography, Painting, Cooking, Bird Watching, Woodworking",low_end
NONE,NONE,NONE,25,married,NONE,gay,0,LocalBank,low_end,PhD,NONE,NONE,"Writing, Baking, Photography, Bird Watching, Hiking",low_end
Leontii Novosiolov,NONE,east Europe,37,divorced,Muslim,other,16,NONE,NONE,PhD,Greenwood Institute,low_end,NONE,NONE
Alona Nanez,female,NONE,NONE,single,NONE,bisexual,NONE,NONE,NONE,NONE,River Valley Technical School,low_end,NONE,NONE
NONE,NONE,latin America,NONE,NONE,Indigenous Religion,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Pottery, Painting, Fishing, Gardening, Camping",low_end
NONE,male,NONE,26,NONE,NONE,other,2,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Delfina Hernandez,female,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,female,latin America,49,married,Christian,NONE,19,EduSupport,low_end,NONE,NONE,NONE,"Gardening, Cooking, Photography, Knitting, Camping",low_end
NONE,female,NONE,58,NONE,NONE,gay,27,Apple,high_end,NONE,Yale University,high_end,"Mobile Development, Blockchain, Networking, DevOps, Cloud Computing",high_end
NONE,female,latin America,NONE,single,Christian,other,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Dennis Clemons,NONE,NONE,72,married,NONE,NONE,14,BasicManufacturing,low_end,NONE,NONE,NONE,"Hiking, Pottery, Bird Watching, Fishing, Woodworking",low_end
ddwyh ntZmy,male,NONE,49,single,NONE,NONE,21,Netflix,high_end,NONE,University of Oxford,high_end,"DevOps, Java, Cloud Computing, Blockchain, Mobile Development",high_end
Thandi Okafor,NONE,Africa,NONE,single,Muslim,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Galaktion Vladimirskii,NONE,east Europe,63,NONE,Orthodox,straight,37,Tesla,high_end,Bachelor,NONE,NONE,"Machine Learning, C++, Cybersecurity, AI/ML, Networking",high_end
Arama Vega,NONE,latin America,67,NONE,Christian,bisexual,35,Community Health Services,low_end,PhD,NONE,NONE,"Baking, Writing, Woodworking, Cycling, Camping",low_end
Qian He  He ,female,Asian,80,NONE,Hindu,NONE,19,Facebook,high_end,NONE,Princeton University,high_end,"Mobile Development, Python, Data Science, Natural Language Processing, Cybersecurity",high_end
NONE,NONE,NONE,NONE,married,NONE,other,NONE,BasicManufacturing,low_end,NONE,NONE,NONE,"Cycling, Cooking, Photography, Hiking, Writing",low_end
NONE,female,NONE,NONE,widowed,NONE,NONE,NONE,NONE,NONE,NONE,Yale University,high_end,NONE,NONE
wndd myrbqry,NONE,NONE,NONE,NONE,NONE,NONE,NONE,BasicManufacturing,low_end,NONE,River Valley Technical School,low_end,"Baking, Cooking, Photography, Bird Watching, Camping",low_end
NONE,NONE,NONE,29,NONE,NONE,NONE,5,NONE,NONE,NONE,Hometown College,low_end,NONE,NONE
NONE,female,Africa,76,NONE,Christian,NONE,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,Asian,60,NONE,Buddhist,bisexual,16,NONE,NONE,NONE,Capital City Institute,low_end,NONE,NONE
nwjn nZry,male,middle East,46,divorced,Muslim,NONE,9,EduSupport,low_end,Bachelor,River Valley Technical School,low_end,"Baking, Painting, Gardening, Woodworking, Camping",low_end
tyryj khkhwnd,NONE,NONE,NONE,single,NONE,straight,NONE,NONE,NONE,NONE,Capital City Institute,low_end,NONE,NONE
Viktor Sadof'ev,NONE,NONE,NONE,single,NONE,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Writing, Woodworking, Painting, Photography, Cycling",low_end
Uddi Hojgaard,NONE,NONE,NONE,NONE,NONE,gay,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,female,NONE,30,NONE,NONE,NONE,1,Community Health Services,low_end,NONE,Lakeside Community College,low_end,"Fishing, Painting, Hiking, Photography, Camping",low_end
NONE,female,west Europe,NONE,single,Muslim,NONE,NONE,LocalBank,low_end,NONE,NONE,NONE,"Painting, Knitting, Bird Watching, Pottery, Baking",low_end
shhrnz mHmdrDyy,NONE,middle East,NONE,single,Muslim,gay,NONE,LocalBank,low_end,NONE,NONE,NONE,"Baking, Cooking, Knitting, Camping, Gardening",low_end
NONE,NONE,NONE,NONE,NONE,NONE,bisexual,NONE,QuickTech Solutions,low_end,NONE,NONE,NONE,"Woodworking, Baking, Fishing, Photography, Camping",low_end
Aletea Valdivia,NONE,NONE,20,NONE,NONE,NONE,0,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
Leontii Ziuziukin,male,NONE,51,divorced,NONE,straight,9,NONE,NONE,NONE,Harvard University,high_end,NONE,NONE
NONE,male,NONE,NONE,divorced,NONE,bisexual,NONE,Tesla,high_end,NONE,University of Chicago,high_end,"Cybersecurity, Data Science, C++, Natural Language Processing, Python",high_end
wry wkhyly,male,middle East,30,NONE,Christian,NONE,8,NONE,NONE,NONE,Imperial College London,high_end,NONE,NONE
NONE,NONE,north America,66,NONE,Christian,NONE,40,NONE,NONE,PhD,Lakeside Community College,low_end,NONE,NONE
Noemi Franke,NONE,NONE,NONE,married,NONE,bisexual,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Shela Melton,NONE,north America,NONE,NONE,Christian,bisexual,NONE,LocalBank,low_end,NONE,South Valley Technical School,low_end,"Painting, Cycling, Hiking, Camping, Baking",low_end
Birgitte Lund,NONE,west Europe,NONE,NONE,Christian,straight,NONE,LocalBank,low_end,NONE,Hilltop State College,low_end,"Camping, Cycling, Cooking, Hiking, Bird Watching",low_end
NONE,NONE,NONE,56,NONE,NONE,bisexual,7,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Thandi Kagiso,male,NONE,49,NONE,NONE,bisexual,26,BasicManufacturing,low_end,NONE,NONE,NONE,"Baking, Gardening, Woodworking, Knitting, Pottery",low_end
Dorofei Baburov,NONE,east Europe,28,divorced,Orthodox,other,4,NONE,NONE,NONE,Yale University,high_end,NONE,NONE
Joella Burgess,female,NONE,57,NONE,NONE,NONE,24,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
Primeiro Limon,NONE,NONE,NONE,widowed,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Amina Abebe,female,NONE,78,divorced,NONE,straight,17,Twitter,high_end,Bachelor,NONE,NONE,"DevOps, Networking, Mobile Development, AI/ML, Cloud Computing",high_end
NONE,female,west Europe,43,married,Christian,NONE,11,IBM,high_end,Masters,NONE,NONE,"Machine Learning, Mobile Development, Natural Language Processing, AI/ML, Cloud Computing",high_end
Xin Bing Wei  Gong Xia ,NONE,Asian,NONE,married,Christian,gay,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Tai Lang  Geng Ke ,NONE,Asian,48,NONE,Christian,NONE,26,LocalBank,low_end,NONE,Hometown College,low_end,"Photography, Cooking, Woodworking, Fishing, Knitting",low_end
NONE,female,NONE,NONE,NONE,NONE,gay,NONE,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
Romualda Ignatowicz,NONE,NONE,NONE,single,NONE,bisexual,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Yi Ke  Kong ,male,NONE,39,divorced,NONE,NONE,8,Community Health Services,low_end,Masters,Midwest Regional University,low_end,"Gardening, Fishing, Knitting, Hiking, Pottery",low_end
Jacobo Delarosa,male,NONE,53,divorced,NONE,NONE,16,Community Health Services,low_end,NONE,City Technical School,low_end,"Pottery, Fishing, Painting, Cycling, Hiking",low_end
Shalanda Ferrell,NONE,NONE,49,NONE,NONE,NONE,13,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Hania Maslinska,NONE,NONE,53,NONE,NONE,straight,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE
mizuki Fu Jia ,NONE,Asian,67,married,Hindu,bisexual,20,LocalBank,low_end,NONE,NONE,NONE,"Cycling, Camping, Photography, Baking, Hiking",low_end
Janusz Dobrzanski,male,NONE,NONE,married,NONE,NONE,NONE,Facebook,high_end,NONE,NONE,NONE,"Mobile Development, AI/ML, Blockchain, Python, Networking",high_end
tyr twkhlyn,NONE,NONE,51,widowed,NONE,gay,10,NONE,NONE,Masters,River Valley Technical School,low_end,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Tesla,high_end,NONE,California Institute of Technology,high_end,"AI/ML, Data Science, Blockchain, Natural Language Processing, Machine Learning",high_end
Ci Qi  Shen Tu ,NONE,NONE,68,NONE,NONE,NONE,27,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
NONE,female,east Europe,43,NONE,Muslim,other,8,EduSupport,low_end,NONE,NONE,NONE,"Hiking, Baking, Photography, Knitting, Painting",low_end
Han Chang  Wei ,female,NONE,56,widowed,NONE,straight,18,NONE,NONE,Masters,Westside Polytechnic,low_end,NONE,NONE
NONE,male,NONE,23,widowed,NONE,NONE,4,LocalBank,low_end,NONE,Midwest Regional University,low_end,"Bird Watching, Writing, Knitting, Gardening, Camping",low_end
Bernicia Escobedo,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Regional Institute,low_end,NONE,NONE
Ting Xuan  Rong ,female,NONE,39,divorced,NONE,NONE,18,QuickTech Solutions,low_end,Bachelor,Greenwood Institute,low_end,"Hiking, Writing, Woodworking, Bird Watching, Gardening",low_end
bhrng mlkhyn,NONE,NONE,NONE,single,NONE,NONE,NONE,QuickTech Solutions,low_end,NONE,NONE,NONE,"Painting, Fishing, Knitting, Woodworking, Camping",low_end
Melania Galczynska,NONE,NONE,NONE,single,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
shyd nwr,female,NONE,NONE,married,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Theresia Morris,female,north America,57,single,Christian,NONE,23,NONE,NONE,NONE,Greenwood Institute,low_end,NONE,NONE
NONE,NONE,NONE,24,married,NONE,other,1,BasicManufacturing,low_end,Bachelor,NONE,NONE,"Hiking, Cooking, Fishing, Photography, Bird Watching",low_end
Thandi Okafor,NONE,NONE,NONE,NONE,NONE,other,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Amazon,high_end,NONE,NONE,NONE,"AI/ML, Blockchain, Mobile Development, Data Science, C++",high_end
aryw dhqn,male,NONE,NONE,divorced,NONE,other,NONE,Tesla,high_end,NONE,NONE,NONE,"Machine Learning, Natural Language Processing, Networking, Blockchain, Cloud Computing",high_end
Amina Kagiso,male,Africa,NONE,NONE,Christian,other,NONE,Twitter,high_end,NONE,Princeton University,high_end,"Mobile Development, Cybersecurity, Java, Cloud Computing, C++",high_end
NONE,NONE,west Europe,NONE,married,Jewish,NONE,NONE,Community Health Services,low_end,NONE,Greenwood Institute,low_end,"Painting, Gardening, Knitting, Baking, Hiking",low_end
